Country,Year,Region,TV Viewers,total_population_with_projections,TxxPopFactor,TV Viewers 2,Extrapolation=1,
bra,1600,America,0,800000,0,0,,
bra,1700,America,0,1250000,0,0,,
bra,1800,America,0,3640000,0,0,,
bra,1820,America,0,4507000,0,0,,
bra,1850,America,0,7234000,0,0,,
bra,1870,America,0,9797000,0,0,,
bra,1871,America,0,9980000,0,0,,
bra,1872,America,0,10170000,0,0,,
bra,1873,America,0,10360000,0,0,,
bra,1874,America,0,10550000,0,0,,
bra,1875,America,0,10750000,0,0,,
bra,1876,America,0,10950000,0,0,,
bra,1877,America,0,11160000,0,0,,
bra,1878,America,0,11360000,0,0,,
bra,1879,America,0,11580000,0,0,,
bra,1880,America,0,11790000,0,0,,
bra,1881,America,0,12020000,0,0,,
bra,1882,America,0,12240000,0,0,,
bra,1883,America,0,12470000,0,0,,
bra,1884,America,0,12700000,0,0,,
bra,1885,America,0,12940000,0,0,,
bra,1886,America,0,13180000,0,0,,
bra,1887,America,0,13430000,0,0,,
bra,1888,America,0,13680000,0,0,,
bra,1889,America,0,13940000,0,0,,
bra,1890,America,0,14200000,0,0,,
bra,1891,America,0,14540000,0,0,,
bra,1892,America,0,14890000,0,0,,
bra,1893,America,0,15240000,0,0,,
bra,1894,America,0,15610000,0,0,,
bra,1895,America,0,15980000,0,0,,
bra,1896,America,0,16360000,0,0,,
bra,1897,America,0,16750000,0,0,,
bra,1898,America,0,17150000,0,0,,
bra,1899,America,0,17560000,0,0,,
bra,1900,America,0,17980000,0,0,,
bra,1901,America,0,18390000,0,0,,
bra,1902,America,0,18780000,0,0,,
bra,1903,America,0,19180000,0,0,,
bra,1904,America,0,19590000,0,0,,
bra,1905,America,0,20000000,0,0,,
bra,1906,America,0,20430000,0,0,,
bra,1907,America,0,20860000,0,0,,
bra,1908,America,0,21300000,0,0,,
bra,1909,America,0,21750000,0,0,,
bra,1910,America,0,22220000,0,0,,
bra,1911,America,0,22690000,0,0,,
bra,1912,America,0,23170000,0,0,,
bra,1913,America,0,23660000,0,0,,
bra,1914,America,0,24160000,0,0,,
bra,1915,America,0,24670000,0,0,,
bra,1916,America,0,25200000,0,0,,
bra,1917,America,0,25730000,0,0,,
bra,1918,America,0,26280000,0,0,,
bra,1919,America,0,26840000,0,0,,
bra,1920,America,0,27400000,0,0,,
bra,1921,America,0,27970000,0,0,,
bra,1922,America,0,28540000,0,0,,
bra,1923,America,0,29130000,0,0,,
bra,1924,America,0,29720000,0,0,,
bra,1925,America,0,30330000,0,0,,
bra,1926,America,0,30950000,0,0,,
bra,1927,America,0,31590000,0,0,,
bra,1928,America,0,32230000,0,0,,
bra,1929,America,0,32890000,0,0,,
bra,1930,America,0,33570000,0,0,,
bra,1931,America,0,34260000,0,0,,
bra,1932,America,0,34960000,0,0,,
bra,1933,America,0,35670000,0,0,,
bra,1934,America,0,36400000,0,0,,
bra,1935,America,0,37150000,0,0,,
bra,1936,America,0,37910000,0,0,,
bra,1937,America,0,38690000,0,0,,
bra,1938,America,0,39480000,0,0,,
bra,1939,America,0,40290000,0,0,,
bra,1940,America,0,41110000,0,0,,
bra,1941,America,0,42070000,0,0,,
bra,1942,America,0,43070000,0,0,,
bra,1943,America,0,44090000,0,0,,
bra,1944,America,0,45140000,0,0,,
bra,1945,America,0,46220000,0,0,,
bra,1946,America,0,47310000,0,0,,
bra,1947,America,0,48440000,0,0,,
bra,1948,America,0,49590000,0,0,,
bra,1949,America,0,50770000,0,0,,
bra,1950,America,0,53970000,0,0,,
bra,1951,America,0,55670000,0,0,,
bra,1952,America,0,57420000,0,0,,
bra,1953,America,0,59220000,0,0,,
bra,1954,America,0,61040000,0,0,,
bra,1955,America,0,62880000,0,0,,
bra,1956,America,0,64750000,0,0,,
bra,1957,America,0,66650000,0,0,,
bra,1958,America,0,68610000,0,0,,
bra,1959,America,0,70640000,0,0,,
bra,1960,America,0,72760000,0,0,,
bra,1961,America,0,74980000,0,0,,
bra,1962,America,0,77280000,0,0,,
bra,1963,America,0,79640000,0,0,,
bra,1964,America,0,82020000,0,0,,
bra,1965,America,843900,84390000,0.01,843900,1,1
bra,1966,America,7806600,86740000,0.09,7806600,1,1
bra,1967,America,20486100,89070000,0.23,20486100,1,1
bra,1968,America,31255380,91390000,0.342,31255380,1,1
bra,1969,America,41897310,93730000,0.447,41897310,1,1
